Equipe;Chutes Certos;Chutes Errados;Passes Certos;Passes Errados
Corinthians;210;236;14728;1685
Atletico MG;210;290;15582;1445
Palmeiras;208;270;11367;1677
Santos;199;251;13313;1179
Cruzeiro;179;319;12929;1387
Sao Paulo;175;273;15439;1411
Atletico PR;171;295;12538;1488
Ponte Preta;170;278;11955;1483
Flamengo;169;304;13315;1520
Gremio;169;258;14177;1497
Vasco da Gama;165;258;10960;1413
Sport;159;242;12828;1492
Goias;158;270;10071;1340
Coritiba;156;244;10713;1415
Internacional;156;243;12319;1411
Avai;150;254;9056;1409
Fluminense;146;252;11804;1258
Chapecoense;138;272;11091;1441
Joinville;136;245;9401;1492
Figueirense;135;222;9049;1418
