rank,player,team,matches,goals,goals_penalties,own_goals,minutes_per_goal,goals_starter,goals_bench,goals_for_points,goals_for_wins,goals_comeback,team_goals_percentage
1,Fred,Atletico Mineiro,31,13,0,0,190,13,0,0,3,0,20
1,Diego Souza,Sport,30,13,2,0,196,13,0,2,2,0,29
3,William Pottker,Ponte Preta,27,12,2,0,131,9,3,1,1,0,28
3,Robinho,Atletico Mineiro,29,12,4,0,171,11,1,1,3,0,21
5,Sassa,Botafogo,23,11,4,0,104,7,4,0,3,0,27
5,Gabriel Jesus,Palmeiras,24,11,0,0,188,11,0,1,1,0,19
7,Bruno Rangel,Chapecoense,28,10,7,0,170,8,2,2,0,0,22
7,Grafite,Santa Cruz,28,10,3,0,213,10,0,1,0,0,27
7,Vitor Bueno,Santos,29,10,2,0,227,10,0,0,1,0,19
10,Pablo,Atletico Paranaense,29,9,0,0,252,9,0,0,2,1,26
10,Keno,Santa Cruz,31,9,1,0,296,9,0,0,1,0,24
12,Kempes,Chapecoense,24,8,0,0,189,6,2,0,3,1,18
12,Paolo Guerrero,Flamengo,18,8,0,0,198,8,0,2,0,0,17
12,Roger,Ponte Preta,26,8,0,0,203,6,2,1,0,0,19
12,Jonathan Copete,Santos,21,8,0,0,207,6,2,0,3,1,15
12,Rogerio,Sao Paulo,28,8,0,0,211,7,1,1,3,0,16
12,Kleber,Coritiba,21,8,1,0,223,8,0,0,2,0,21
12,Vitinho,Internacional,24,8,1,0,241,8,0,0,4,1,25
12,Marinho,Vitoria,23,8,0,0,241,8,0,1,2,1,19
12,Neilton,Botafogo,32,8,0,0,286,6,2,0,2,0,20
12,Gustavo Scarpa,Fluminense,31,8,0,0,343,8,0,1,1,0,19
12,Kieza,Vitoria,32,8,0,0,358,8,0,3,1,1,19
12,C’cero,Fluminense,32,8,1,0,360,8,0,0,2,0,19
24,Ramon abila,Cruzeiro,18,7,0,1,183,7,0,2,0,0,17
24,Ricardo Oliveira,Santos,16,7,1,0,197,7,0,0,1,0,13
24,Christian Cueva,Sao Paulo,20,7,5,0,243,7,0,1,0,0,19
24,Giorgian de Arrascaeta,Cruzeiro,28,7,1,0,310,7,0,1,0,0,17
24,Rafael Moura,Figueirense,26,7,2,0,316,7,0,0,3,0,25
29,Juan Cazares,Atletico Mineiro,15,6,1,0,169,6,0,1,1,0,11
29,Andres Chavez,Sao Paulo,18,6,0,0,244,6,0,0,1,0,17
29,Marcos Junior,Fluminense,28,6,1,0,246,5,1,1,0,0,14
29,Camilo,Botafogo,24,6,1,0,346,6,0,0,0,0,15
29,Luan,Gremio,24,6,1,0,350,6,0,0,1,0,17
29,Jean,Palmeiras,31,6,3,0,453,6,0,1,2,0,11
35,Felipe Vizeu,Flamengo,13,5,0,0,159,5,0,0,2,0,11
35,Gabriel Barbosa,Santos,11,5,0,0,182,5,0,1,0,0,9
35,Felipe Azevedo,Ponte Preta,18,5,0,1,236,5,0,0,1,0,12
35,Edmilson,Sport,22,5,0,0,269,4,1,0,2,0,11
35,Guilherme,Corinthians,25,5,0,0,278,4,1,0,0,0,11
35,Angel Romero,Corinthians,24,5,0,0,357,5,0,0,0,0,11
35,Arthur ,Santa Cruz,32,5,0,0,395,4,1,0,0,0,14
35,Eduardo Sasha,Internacional,29,5,0,0,420,4,1,0,1,0,16
35,Hernani,Atletico Paranaense,26,5,1,0,420,4,1,0,3,1,14
35,Marquinhos Gabriel,Corinthians,31,5,1,0,479,5,0,0,1,1,11
35,Dudu,Palmeiras,30,5,0,0,486,5,0,0,0,0,9
35,Thiego,Chapecoense,31,5,0,0,556,5,0,0,1,0,11
47,Aylon,Internacional,19,4,0,0,205,3,1,0,2,1,13
47,Alisson,Cruzeiro,17,4,1,0,233,4,0,0,0,0,10
47,Yerry Mina ,Palmeiras,11,4,0,0,236,4,0,0,0,0,7
47,Lucas Pratto,Atletico Mineiro,17,4,0,0,267,1,3,0,1,1,7
47,Luis Manuel Seijas,Internacional,16,4,1,0,271,4,0,0,0,0,13
47,Marlone,Corinthians,20,4,0,0,281,3,1,0,0,0,9
47,Diego,Flamengo,14,4,1,0,299,4,0,0,0,0,9
47,Cleiton Xavier,Palmeiras,28,4,1,0,300,2,2,0,2,0,7
47,Richarlison,Fluminense,24,4,1,0,314,2,2,0,1,0,9
47,Leandro,Coritiba,22,4,1,0,341,3,1,3,0,0,11
47,Rafael Sobis,Cruzeiro,19,4,0,0,354,4,0,0,0,0,10
