index;week;goal;minute;shot_player;assistance_player;team;opponent;region_assistance;region_shot;goal_difference;at_home;type_of_play;type_of_shot;dribble_before_shot;deep_pass;cross;counter_attack;good_chance;defense_mistake;dangerous_shot
1;1;1;;everton;Willian Arao;Flamengo;Sport;5;3;0;1;collective;foot;0;0;1;0;1;1;1
2;1;0;;Diego Souza;-;Sport;Flamengo;0;26;-1;0;direct_fk;foot;0;0;0;0;0;0;0
3;1;0;;everton;Mancuello;Flamengo;Sport;28;5;1;1;collective;foot;0;1;0;0;1;0;0
4;1;0;;Guerrero;Everton;Flamengo;Sport;18;18;1;1;collective;foot;0;0;0;0;0;0;0
5;1;0;;Rodinei;-;Flamengo;Sport;0;15;1;1;individual;foot;1;0;0;0;0;0;0
6;1;0;;Ederson;Everton;Flamengo;Sport;16;6;1;1;collective;foot;0;1;0;0;0;0;1
7;1;0;;Marcelo Cirino;Ederson;Flamengo;Sport;17;14;1;1;collective;foot;0;0;0;0;0;0;0
8;1;0;;Ederson;-;Flamengo;Sport;0;25;1;1;direct_fk;foot;0;0;0;0;0;0;0
9;1;0;;Alan Patrick;Jorge;Flamengo;Sport;21;8;1;1;collective;foot;0;0;1;0;0;0;1
10;1;0;;Marcelo Cirino;Cuellar;Flamengo;Sport;28;17;1;1;collective;foot;1;1;0;1;0;0;0
11;1;0;;Marcelo Cirino;-;Flamengo;Sport;0;19;1;1;individual;foot;1;0;0;1;0;0;0
12;1;0;;Felipe Azevedo;Wellington Paulista;Ponte Preta;Figueirense;20;20;0;0;collective;foot;0;1;0;1;0;0;0
13;1;0;;Ravanelli;Clayson;Ponte Preta;Figueirense;12;17;0;0;collective;foot;0;0;0;1;0;0;0
14;1;0;;Ermel;-;Figueirense;Ponte Preta;0;19;0;1;individual;foot;0;0;0;0;0;1;1
15;1;0;;Ferrugem;-;Figueirense;Ponte Preta;0;23;0;1;individual;foot;0;0;0;0;0;1;0
16;1;0;;Jocinei;M. Pedroso;Figueirense;Ponte Preta;21;23;0;1;collective;foot;0;0;0;0;0;0;1
17;1;0;;Douglas Grolli;Clayson;Ponte Preta;Figueirense;22;3;0;0;corner;head;0;0;1;0;0;0;0
18;1;0;;Wellington Paulista;Reinaldo ;Ponte Preta;Figueirense;21;2;0;0;corner;head;0;0;1;0;1;0;1
19;1;0;;Clayson;Ravanelli;Ponte Preta;Figueirense;26;7;0;0;collective;foot;0;1;0;1;1;0;1
20;1;0;;Ravanelli;Clayson;Ponte Preta;Figueirense;6;18;0;0;collective;foot;0;0;0;0;0;0;0
21;1;0;;Jefferson;Reinaldo ;Ponte Preta;Figueirense;28;9;0;0;collective;head;0;0;0;0;0;1;0
22;1;0;;Elicarlos;-;Figueirense;Ponte Preta;0;26;0;1;individual;foot;0;0;0;0;0;0;0
23;1;0;;Clayson;-;Ponte Preta;Figueirense;0;17;0;0;individual;foot;0;0;0;0;0;0;0
24;1;0;;Wellington Paulista;Jefferson;Ponte Preta;Figueirense;20;6;0;0;collective;foot;0;0;1;0;0;0;0
25;1;0;;Reinaldo;Joao Vitor;Ponte Preta;Figueirense;23;21;0;0;collective;foot;0;0;0;0;0;0;1
26;1;0;;Bady;Rafael Moura;Figueirense;Ponte Preta;8;18;0;1;collective;foot;0;0;0;0;0;0;1
27;1;0;;Jaime;Dudu;Figueirense;Ponte Preta;21;8;0;1;collective;head;0;0;1;0;1;0;1
28;1;0;;Roger;Rhayner;Ponte Preta;Figueirense;26;17;0;0;collective;foot;0;0;0;0;0;0;1
29;1;0;;Tiago Luis;-;America;Fluminense;0;18;0;1;individual;foot;0;0;0;0;0;1;0
30;1;0;;Osvaldo;-;Fluminense;America;0;19;0;0;individual;foot;0;0;0;0;0;1;1
31;1;1;;Fred;Richarlison;Fluminense;America;2;7;0;0;collective;foot;0;0;0;1;1;0;1
