index;Rodada;Gol;Minuto;Jogador;Jogador ASS;Time;Adversario;Regiao;Regiao ASS;Saldo Placar;Em Casa;Tipo de Jogada;Tipo de chute;Drible antes chute;Passe Profundo;Cruzamento/Cruz. rasteiro;Contra ataque;Erro da zaga;Chance boa;Chute Perigoso;
1;3;0;5;Gabriel Jesus;Neymar;Brasil;Bolivia;7;26;0;1;Coletiva;P;0;1;0;0;0;0;0;
2;3;1;10;Neymar;Gabriel Jesus;Brasil;Bolivia;8;14;0;1;Coletiva;P;0;0;1;1;1;1;1;
3;3;0;14;Renato Augusto;Neymar;Brasil;Bolivia;7;27;1;1;Falta Indireta;C;0;0;1;0;0;0;0;
4;3;0;16;Marcelo Moreno;-;Bolivia;Brasil;26;0;-1;0;Individual;P;0;0;0;0;0;0;0;
5;3;1;25;Philippe Coutinho;Giuliano;Brasil;Bolivia;9;4;1;1;Coletiva;P;1;0;1;0;0;0;0;
6;3;1;38;Filipe Luis;Neymar;Brasil;Bolivia;7;26;2;1;Coletiva;P;0;1;0;0;0;0;0;
7;3;0;42;Marcelo Moreno;-;Bolivia;Brasil;26;0;-2;0;Falta Direta;P;0;0;0;0;0;0;0;
8;3;1;43;Gabriel Jesus;Neymar;Brasil;Bolivia;2;17;3;1;Coletiva;P;0;1;0;1;0;0;0;
9;3;0;51;Marcelo Moreno;-;Bolivia;Brasil;7;23;-3;0;Lateral;C;0;0;1;0;0;0;0;
10;3;0;51;Neymar;Giuliano;Brasil;Bolivia;18;28;4;1;Coletiva;P;1;0;0;0;0;0;0;
11;3;0;53;Giuliano;-;Brasil;Bolivia;9;0;4;1;Rebote;P;0;0;0;0;0;0;0;
12;3;0;58;Gabriel Jesus;Neymar;Brasil;Bolivia;8;25;4;1;Coletiva;C;0;0;1;0;0;0;0;
13;3;0;60;Neymar;Gabriel Jesus;Brasil;Bolivia;2;25;4;1;Coletiva;P;0;0;0;0;0;0;0;
14;3;0;69;Firmino;Filipe Luis;Brasil;Bolivia;13;25;4;1;Coletiva;P;0;0;1;0;0;0;0;
15;3;1;74;Firmino;Philippe Coutinho;Brasil;Bolivia;8;21;4;1;Escanteio;C;0;0;1;0;0;0;0;
16;3;0;78;Willian;Philippe Coutinho;Brasil;Bolivia;15;25;5;1;Coletiva;P;0;0;0;0;0;0;0;
17;3;0;89;Lucas Lima;-;Brasil;Bolivia;26;0;5;1;Individual;P;0;0;0;0;0;0;0;
18;3;0;91;Willian;-;Brasil;Bolivia;26;0;5;1;Individual;P;0;0;0;0;0;0;0;
19;1;0;3;Gabriel Jesus;Neymar;Brasil;Equador;14;28;0;0;Coletiva;P;0;0;0;0;0;0;0;
20;1;0;5;Willian;-;Brasil;Equador;26;0;0;0;Individual;P;0;0;0;0;0;0;0;
21;1;0;15;Gabriel Jesus;-;Brasil;Equador;27;0;0;0;Individual;P;0;0;0;0;0;0;0;
22;1;0;20;Montero;-;Equador;Brasil;6;0;0;1;Falta Indireta;P;0;0;0;0;0;0;0;
23;1;0;30;Renato Augusto;Willian;Brasil;Equador;19;26;0;0;Coletiva;P;0;0;0;0;0;0;0;
24;1;0;34;Noboa;-;Equador;Brasil;14;0;0;1;Individual;P;1;0;0;0;0;0;0;
